metrosegment,year,logcaputil,demandvolatility,segment,logwage,logrent,logelecprice,logpipc,logempllh,ur,logllhsqmile,logllhshare,logpi,logpipc5yr,logempllh5yr,logpi5yr,instrument1_imt,empinstrument
1,2006,-0.434307298539043,0.102242909068498,2,9.55405734506903,6.57886579944227,2.10169215061466,10.5463146491961,3.77715738979049,3.19166666666667,2.10982799894061,-2.49353169039827,17.5482965325533,-6.74222452224328,0.0911988641042143,0.259746681588794,0.0192446299412293,0.0319369562022409
2,2006,-0.448401467740934,0.101423613462061,3,9.55405734506903,6.57886579944227,2.10169215061466,10.5463146491961,3.77715738979049,3.19166666666667,2.10982799894061,-2.49353169039827,17.5482965325533,-6.74222452224328,0.0911988641042143,0.259746681588794,0.0148816570221355,0.0319369562022409
3,2006,-0.398470460275089,0.114585805524344,4,9.55405734506903,6.57886579944227,2.10169215061466,10.5463146491961,3.77715738979049,3.19166666666667,2.10982799894061,-2.49353169039827,17.5482965325533,-6.74222452224328,0.0911988641042143,0.259746681588794,0.0152530016778629,0.0319369562022409
4,2006,-0.458531053093238,0.123764134865242,5,9.55405734506903,6.57886579944227,2.10169215061466,10.5463146491961,3.77715738979049,3.19166666666667,2.10982799894061,-2.49353169039827,17.5482965325533,-6.74222452224328,0.0911988641042143,0.259746681588794,0.00879775902073407,0.0319369562022409
5,2006,-0.400664149155874,0.0727315146594622,6,9.55405734506903,6.57886579944227,2.10169215061466,10.5463146491961,3.77715738979049,3.19166666666667,2.10982799894061,-2.49353169039827,17.5482965325533,-6.74222452224328,0.0911988641042143,0.259746681588794,0.0137931666973405,0.0319369562022409
6,2006,-0.347820702536922,0.163938929267109,3,9.42522335434102,6.61069604471776,2.10169215061466,10.2640947550025,2.75206708651898,3.575,2.54253576262464,-2.4374114999949,16.2628347519223,-5.76185711629131,0.0994121486383417,0.236881254267768,0.0194434723613739,0.0170079293215325
7,2006,-0.239280690511736,0.103959613504721,4,9.42522335434102,6.61069604471776,2.10169215061466,10.2640947550025,2.75206708651898,3.575,2.54253576262464,-2.4374114999949,16.2628347519223,-5.76185711629131,0.0994121486383417,0.236881254267768,0.0199304361015519,0.0170079293215325
8,2006,-0.535481568625527,0.179766898718254,5,9.42522335434102,6.61069604471776,2.10169215061466,10.2640947550025,2.75206708651898,3.575,2.54253576262464,-2.4374114999949,16.2628347519223,-5.76185711629131,0.0994121486383417,0.236881254267768,0.0114986338851755,0.0170079293215325
9,2006,-0.348953838028089,0.105663920569678,6,9.42522335434102,6.61069604471776,2.10169215061466,10.2640947550025,2.75206708651898,3.575,2.54253576262464,-2.4374114999949,16.2628347519223,-5.76185711629131,0.0994121486383417,0.236881254267768,0.018020391283874,0.0170079293215325
10,2006,-0.300646904252911,0.126334280531757,1,9.89292086915961,7.02286808608264,2.08193842187842,10.532602750313,5.19554608851209,3.55,2.51639617318766,-2.34817736874281,18.8049803412604,-7.88730911428743,0.16843613876645,0.385065650651988,0.00834920306164726,0.0191843145952649
11,2006,-0.338000439681013,0.132370814091386,2,9.89292086915961,7.02286808608264,2.08193842187842,10.532602750313,5.19554608851209,3.55,2.51639617318766,-2.34817736874281,18.8049803412604,-7.88730911428743,0.16843613876645,0.385065650651988,0.0279686839169328,0.0191843145952649
12,2006,-0.382162145304503,0.137205084327875,3,9.89292086915961,7.02286808608264,2.08193842187842,10.532602750313,5.19554608851209,3.55,2.51639617318766,-2.34817736874281,18.8049803412604,-7.88730911428743,0.16843613876645,0.385065650651988,0.0216249254949268,0.0191843145952649
13,2006,-0.366020811208596,0.195925633241401,4,9.89292086915961,7.02286808608264,2.08193842187842,10.532602750313,5.19554608851209,3.55,2.51639617318766,-2.34817736874281,18.8049803412604,-7.88730911428743,0.16843613876645,0.385065650651988,0.0221968666290497,0.0191843145952649
14,2006,-0.460997478375558,0.185404508268489,5,9.89292086915961,7.02286808608264,2.08193842187842,10.532602750313,5.19554608851209,3.55,2.51639617318766,-2.34817736874281,18.8049803412604,-7.88730911428743,0.16843613876645,0.385065650651988,0.0127853710881622,0.0191843145952649
15,2006,-0.402844238464808,0.136666721229726,6,9.89292086915961,7.02286808608264,2.08193842187842,10.532602750313,5.19554608851209,3.55,2.51639617318766,-2.34817736874281,18.8049803412604,-7.88730911428743,0.16843613876645,0.385065650651988,0.0200248291207019,0.0191843145952649
